context,pun_word,alter_word,pun_word_sense,alter_word_sense,new_pun,user_pun
"25 cent,profit",charge,charge,pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt,energize a battery by passing a current through it in the direction opposite to discharge,yes,The cashier said there was no charge for my battery.
"25 cent,profit",count,count,determine the number or amount of,have faith or confidence in,no,{}
"25 cent,profit",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"always,hockey players,terrible chess players",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,Hockey players are always terrible chess players since they aren't handy.
"always,hockey players,terrible chess players",count,count,determine the number or amount of,have faith or confidence in,yes,Hockey players are always terrible chess players because they can't count the pieces.
"always,hockey players,terrible chess players",puckishly,puck,in an appealing but bold manner,a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey,yes,Hockey players are always terrible chess players because they can't play puckishly.
apple,cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,yes,The apple has grown so much that it is now cultured.
apple,sweet,sweet,having or denoting the characteristic taste of sugar,pleasing to the mind or feeling,yes,"I met a nice apple, it was very sweet"
apple,beet,beat,round red root vegetable,"come out better in a competition, race, or conflict",no,{}
"around,globetrotter's",canons,cannon,a collection of books accepted as holy scripture especially the books of the Bible recognized by any Christian church as genuine and inspired,a large artillery gun that is usually on wheels,no,{}
"around,globetrotter's",pin,pin,ascribe blame or guilt for something to (someone),attach or fasten with pins,no,{}
"around,globetrotter's",aria,area,an elaborate song for solo voice,a particular environment or walk of life,yes,I heard that a singing globetrotter might be around this aria.
"back,up,keys",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,yes,"He's got my keys, so he got to get got."
"back,up,keys",locked,locked,become rigid or immoveable,secure by locking,no,{}
"back,up,keys",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",yes,"I'll never get my keys back, because it's always their turn to turn."
bakery,aria,area,an elaborate song for solo voice,a particular environment or walk of life,no,{}
bakery,sweet,sweet,having or denoting the characteristic taste of sugar,pleasing to the mind or feeling,no,{}
bakery,stalling,stalling,postpone doing what one should be doing,small area set off by walls for special use,no,{}
"bankers,generous",brail,bail,transcribe in braille,secure the release of (someone) by providing security,yes,The blind prisoner was released on braille.
"bankers,generous",hedges,edge,a fence formed by a row of closely planted shrubs or bushes,the outside limit of an object or area or surface; a place farthest away from the center of something,no,{}
